# frame,trackID,trackStatus,cluster,clusterReject,gridIndex,class,x0,y0,x1,y1,xc,yc,trackDistance,deltaArea,speed,area,aspectRatio,texture,solidity,eMajor,eMinor,contourLen,perimeter,radius,mean,std,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,zer_0,zer_1,zer_2,zer_3,zer_4,zer_5,zer_6,zer_7,zer_8,zer_9,zer_10,zer_11,zer_12,zer_13,zer_14,zer_15,zer_16,zer_17,zer_18,zer_19,zer_20,zer_21,zer_22,zer_23,zer_24,har_0,har_1,har_2,har_3,har_4,har_5,har_6,har_7,har_8,har_9,har_10,har_11,gray_0,gray_1,gray_2,gray_3,gray_4,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,blank,pca1,pca2,pca3
12.000000,2.000000,12.000000,8.000000,0.000000,0.000000,0.000000,555.000000,345.000000,620.000000,404.000000,1152.500000,729.500000,5.385165,0.015654,52.690132,551.500000,3.964029,0.059192,0.920701,13.605010,57.031864,103.000000,128.267026,28.111485,482.160194,107.073827,2.843561,5.790795,9.783902,10.379390,20.558570,13.649858,20.681780,3.259181,0.000000,0.386164,0.250289,0.049833,0.040496,0.205061,0.329516,0.201364,0.063865,0.037230,0.070499,0.174429,0.156389,0.289829,0.157456,0.047956,0.031704,0.055596,0.089312,0.030820,0.089746,0.140117,0.242779,0.118731,225.843090,0.762907,475.980058,0.844583,17.097200,1678.077140,1.880886,2.358736,0.005456,1.564930,-0.570936,0.920156,15.039216,201.824310,15.865845,249.818481,1.120567,0.018774,0.009126,0.004172,0.001043,0.000522,0.000000,0.842503,0.120991,0.000000,-1581.780919,-725.810314,1.838018
12.000000,5.000000,12.000000,1.000000,1.000000,0.000000,0.000000,266.000000,213.000000,322.000000,263.000000,570.000000,461.000000,0.500000,0.051742,13.200379,449.000000,1.222997,0.065714,0.649313,28.791866,32.621719,114.000000,132.225396,18.580029,264.359649,31.400812,3.010568,8.177204,9.201118,11.032006,21.803280,15.242115,-21.159487,2.761635,0.000000,0.560104,0.019451,0.042751,0.098194,0.244646,0.086593,0.026667,0.110102,0.298671,0.010983,0.020346,0.178778,0.094479,0.025174,0.086088,0.341896,0.025074,0.007602,0.063913,0.165342,0.148127,0.098984,0.007671,346.855035,0.851141,1163.517702,0.814645,31.852247,4307.215773,2.158361,2.663909,0.004730,1.753945,-0.521280,0.919979,10.980392,143.240784,15.856545,249.621628,1.218943,0.020714,0.006786,0.006071,0.004643,0.002857,0.003929,0.818929,0.111071,0.000000,1140.254502,-679.263654,22.102619
12.000000,8.000000,12.000000,3.000000,0.000000,0.000000,0.000000,364.000000,111.000000,442.000000,200.000000,777.000000,276.500000,2.061553,0.008032,13.583078,1729.000000,2.399242,0.072890,0.852985,31.842981,77.194473,178.000000,211.965510,41.620407,278.485955,124.838985,3.001601,6.273585,10.300717,10.660740,21.149092,13.818067,-21.872591,2.488138,0.011075,0.318897,0.227524,0.031241,0.051227,0.126874,0.165257,0.194726,0.073244,0.102538,0.045084,0.025222,0.052823,0.140192,0.166987,0.065171,0.114169,0.096989,0.037051,0.077102,0.099294,0.007909,0.117661,0.139880,255.119129,0.808839,666.823312,0.745960,26.266400,2412.174119,2.886986,3.901084,0.003365,2.314853,-0.485373,0.957782,27.223530,319.915771,15.847945,249.440277,1.758590,0.020023,0.006770,0.003457,0.002017,0.001152,0.001152,0.741141,0.208153,0.000000,-889.039069,507.134542,2.935666
12.000000,1.000000,12.000000,8.000000,0.000000,1.000000,0.000000,184.000000,381.000000,246.000000,468.000000,409.000000,815.500000,1.500000,0.013986,39.953098,652.500000,4.553411,0.059511,0.668203,15.917493,70.454231,163.000000,196.551297,36.674339,317.122699,104.395442,2.681969,5.432079,9.065622,9.153711,18.263730,11.908065,-19.657817,3.639716,0.005144,0.342008,0.273638,0.063867,0.040219,0.303763,0.263038,0.224383,0.098067,0.014090,0.066262,0.285619,0.191895,0.214004,0.159710,0.145893,0.051560,0.057246,0.077432,0.222483,0.150571,0.148974,0.147329,0.092523,270.391891,0.787314,635.046098,0.855556,18.438310,2269.792501,1.743245,2.171523,0.004269,1.504481,-0.556721,0.900838,21.152941,291.032532,15.870002,249.906189,1.024327,0.016314,0.005376,0.004820,0.001669,0.001854,0.000927,0.863737,0.100853,0.000000,-977.171277,-568.814434,128.458579
12.000000,7.000000,12.000000,8.000000,0.000000,2.000000,0.000000,479.000000,136.000000,540.000000,198.000000,998.500000,313.000000,4.924429,0.012279,45.343136,643.500000,3.125000,0.078265,0.921920,15.869263,53.602341,101.000000,126.267026,26.631847,336.881188,171.736575,2.936204,6.029782,10.492248,10.799523,21.450867,13.858871,-22.247984,2.915824,0.000000,0.482363,0.196232,0.024740,0.017385,0.221546,0.368193,0.127909,0.045805,0.025249,0.022123,0.160793,0.176771,0.289769,0.082664,0.025047,0.029237,0.043444,0.022556,0.092039,0.019748,0.170841,0.219229,0.052140,238.657217,0.815666,646.924711,0.813116,22.502969,2349.041626,2.146101,2.746040,0.004443,1.809289,-0.555376,0.937083,14.831372,192.811401,15.863103,249.760574,1.290496,0.018773,0.006610,0.003702,0.003437,0.001586,0.000264,0.816235,0.142517,0.000000,-896.027060,-595.793456,0.447345
12.000000,9.000000,12.000000,2.000000,0.000000,0.000000,0.000000,544.000000,114.000000,593.000000,185.000000,1122.500000,273.500000,1.500000,0.018671,13.601471,657.000000,3.111864,0.052314,0.918881,15.815811,55.776970,108.000000,128.710677,27.115593,358.287037,209.202854,2.923834,5.996880,10.147230,10.435213,20.726919,13.443501,-22.052246,2.136379,0.053837,0.271063,0.271505,0.041784,0.037412,0.161468,0.168283,0.227565,0.035708,0.028213,0.021623,0.029573,0.054951,0.098178,0.177369,0.009472,0.051092,0.013443,0.013696,0.108756,0.053748,0.038514,0.044539,0.124584,259.747431,0.813165,694.263643,0.801538,24.799173,2517.307139,2.349549,2.978099,0.005356,1.836084,-0.562589,0.949678,13.643137,172.818100,15.858800,249.669617,1.404882,0.027594,0.013222,0.003449,0.001437,0.000287,0.000287,0.795343,0.152055,0.000000,-721.170064,-575.581248,-11.917732
15.000000,7.000000,15.000000,8.000000,0.000000,3.000000,0.000000,482.000000,132.000000,542.000000,195.000000,1004.000000,305.500000,5.315073,0.009160,37.503333,649.000000,3.166666,0.073810,0.931133,15.897204,53.211311,100.000000,125.681239,26.953764,336.845000,174.229621,2.938513,6.034225,10.686202,10.959784,21.785635,14.002969,-22.724539,2.789957,0.000000,0.476895,0.197416,0.017651,0.013342,0.232251,0.349557,0.134380,0.033945,0.023704,0.016149,0.165628,0.159890,0.278453,0.092413,0.016737,0.025964,0.032524,0.016997,0.053566,0.028182,0.141622,0.219874,0.062817,236.320230,0.816056,641.950815,0.812995,22.569405,2331.483029,2.153969,2.762018,0.004700,1.809298,-0.553522,0.937122,14.823529,192.374374,15.862646,249.750992,1.296341,0.017725,0.007143,0.004497,0.002116,0.001058,0.000794,0.814815,0.142328,0.000000,-914.600978,-591.544654,-1.523044
15.000000,2.000000,15.000000,8.000000,0.000000,4.000000,0.000000,560.000000,340.000000,624.000000,402.000000,1162.000000,721.000000,7.433034,0.010591,47.397257,560.500000,3.989247,0.055948,0.913610,13.627944,57.976547,101.000000,128.752307,28.040249,482.386139,111.235009,2.834506,5.768917,9.747886,10.300486,20.399937,13.502131,20.591298,3.412697,0.000000,0.423571,0.234585,0.054110,0.037943,0.201995,0.371484,0.174720,0.064127,0.034259,0.058666,0.197480,0.178252,0.320145,0.127097,0.061924,0.032523,0.074013,0.066874,0.068972,0.108879,0.170356,0.260694,0.090026,224.438766,0.760701,468.735819,0.846391,16.693377,1650.504511,1.845826,2.320678,0.005910,1.547399,-0.575533,0.919320,15.560784,209.633240,15.866525,249.832840,1.106418,0.016885,0.008569,0.004284,0.001764,0.000252,0.000000,0.845766,0.120212,0.000000,-1610.981615,-717.708972,6.367512
15.000000,9.000000,15.000000,2.000000,0.000000,0.000000,0.000000,543.000000,112.000000,591.000000,185.000000,1120.000000,270.500000,2.500000,0.003740,11.597414,666.000000,3.126712,0.054224,0.909836,15.877727,55.992332,110.000000,131.539104,27.681320,357.150000,209.552229,2.921002,5.988176,10.224850,10.520343,20.893979,13.532239,-22.053250,2.033163,0.045242,0.274541,0.264202,0.038377,0.033618,0.163910,0.153852,0.216616,0.034442,0.016893,0.030653,0.001013,0.053812,0.074878,0.162689,0.015284,0.044632,0.011572,0.029833,0.108574,0.078676,0.043879,0.032460,0.103514,281.435675,0.803163,713.968822,0.798491,25.160332,2574.439614,2.372366,3.017094,0.004683,1.861058,-0.559744,0.950454,13.741177,173.749374,15.859914,249.693207,1.420432,0.024829,0.011701,0.004566,0.001142,0.001427,0.000856,0.793950,0.156107,0.000000,-660.763560,-563.030274,-9.577892
15.000000,10.000000,15.000000,6.000000,0.000000,0.000000,0.000000,329.000000,105.000000,376.000000,175.000000,691.500000,255.000000,0.707107,0.003091,12.093387,645.000000,1.965385,0.070517,0.738409,23.718401,44.777157,126.000000,144.225396,24.750927,246.023810,106.646015,3.061329,6.667473,9.910899,11.109706,-21.717559,-14.526999,-21.840724,2.145886,0.006571,0.453891,0.124032,0.071261,0.079630,0.187262,0.137249,0.056037,0.110387,0.139777,0.062649,0.072790,0.054347,0.039927,0.017602,0.074568,0.103849,0.078248,0.047876,0.125130,0.038040,0.015644,0.006993,0.042128,340.598995,0.890088,1547.029115,0.798180,40.961485,5847.517463,2.457978,3.053850,0.004294,1.869375,-0.526831,0.941465,12.901960,161.251846,15.840592,249.282684,1.404998,0.013070,0.003951,0.006079,0.006383,0.003343,0.006687,0.785410,0.127660,0.000000,2712.390376,-395.886603,44.249958
